成交時間,買賣別,商品名稱,口數,新倉價,平倉價,手續費,期交稅,平倉損益淨額
2025/07/23 9:28:27,買進->賣出,小型期08,1,"23,120","23,090",42,46,"-1,588"
2025/07/23 8:59:20,買進->賣出,小型期08,1,"23,114","23,090",42,46,"-1,288"
2025/07/23 8:51:29,買進->賣出,小型期08,1,"23,110","23,078",42,46,"-1,688"
2025/07/22 11:23:28,買進->賣出,小型期08,1,"22,490","23,128",42,45,"31,813"
2025/07/04 13:33:29,買進->賣出,小型期07,1,"22,460","22,453",42,44,-436
2025/07/04 13:06:45,買進->賣出,小型期07,1,"22,460","22,436",42,44,"-1,286"
2025/07/04 11:53:14,買進->賣出,小型期07,1,"22,552","22,450",42,45,"-5,187"
2025/06/30 13:30:08,買進->賣出,小型期07,1,"22,110","22,109",42,44,-136
2025/06/30 11:40:47,買進->賣出,小型期07,1,"22,130","22,120",42,44,-586
2025/06/30 10:48:24,買進->賣出,小型期07,1,"22,155","22,112",42,44,"-2,236"
2025/06/30 9:48:15,買進->賣出,小型期07,1,"22,160","22,130",42,44,"-1,586"
2025/06/30 9:35:42,買進->賣出,小型期07,1,"22,140","22,130",42,44,-586
2025/06/30 9:02:44,買進->賣出,小型期07,1,"22,200","22,134",42,44,"-3,386"
2025/06/28 2:30:07,買進->賣出,小型期07,1,"22,120","22,090",42,44,"-1,586"
2025/06/27 20:08:44,買進->賣出,小型期07,1,"22,110","22,100",42,44,-586
2025/06/27 15:28:38,買進->賣出,小型期07,1,"22,100","22,084",42,44,-886
2025/06/27 15:04:16,買進->賣出,小型期07,1,"22,100","22,068",42,44,"-1,686"
2025/06/27 13:17:46,買進->賣出,小型期07,1,"22,090","22,069",42,44,"-1,136"
2025/06/26 15:04:43,買進->賣出,小型期07,1,"22,110","22,089",42,44,"-1,136"
2025/06/26 13:19:46,買進->賣出,小型期07,1,"22,118","22,100",42,44,-986
2025/06/06 0:52:42,買進->賣出,小型期06,1,"21,615","21,612",42,44,-236
2025/06/05 22:35:43,買進->賣出,小型期06,1,"21,620","21,580",42,44,"-2,086"
2025/06/05 21:46:05,買進->賣出,小型期06,1,"21,588","21,588",42,44,-86
2025/05/23 17:30:01,買進->賣出,小型期06,1,"21,475","21,456",42,42,"-1,034"
2025/05/23 10:33:24,買進->賣出,小型期06,1,"21,499","21,478",42,42,"-1,134"
2025/05/23 9:52:14,買進->賣出,小型期06,1,"21,510","21,490",42,43,"-1,085"
2025/05/23 9:45:44,買進->賣出,小型期06,1,"21,510","21,490",42,43,"-1,085"
2025/05/23 9:20:26,買進->賣出,小型期06,1,"21,570","21,548",42,44,"-1,186"
2025/05/23 9:16:14,買進->賣出,小型期06,1,"21,570","21,549",42,44,"-1,136"
2025/05/09 9:24:18,買進->賣出,小型期05,1,"20,690","20,659",42,42,"-1,634"
2025/05/09 9:13:55,買進->賣出,小型期05,1,"20,690","20,670",42,42,"-1,084"
2025/05/09 9:10:30,買進->賣出,小型期05,1,"20,668","20,647",42,42,"-1,134"
2025/05/09 8:54:58,買進->賣出,小型期05,1,"20,666","20,646",42,42,"-1,084"
2025/05/08 17:05:40,買進->賣出,小型期05,1,"20,620","20,616",42,42,-284
2025/05/08 13:31:57,買進->賣出,小型期05,1,"20,552","20,552",42,42,-84
2025/05/08 9:54:17,買進->賣出,小型期05,1,"20,550","20,530",42,42,"-1,084"
2025/05/08 9:28:01,買進->賣出,小型期05,1,"20,500","20,540",42,42,"1,916"
2025/05/07 9:19:02,買進->賣出,小型期05,1,"20,426","20,403",42,40,"-1,232"
2025/05/06 9:06:16,買進->賣出,小型期05,1,"20,250","20,221",42,40,"-1,532"
2025/05/05 9:30:21,買進->賣出,小型期05,1,"20,552","20,530",42,42,"-1,184"
2025/04/29 9:15:29,買進->賣出,小型期05,1,"20,030","20,008",42,40,"-1,182"
2025/04/29 9:04:46,賣出->買進,小型期05,1,"19,990","20,010",42,40,"-1,082"
2025/04/29 9:00:06,買進->賣出,小型期05,1,"20,020","20,000",42,40,"-1,082"
2025/04/28 15:33:50,買進->賣出,小型期05,1,"20,010","19,990",42,40,"-1,082"
2025/04/28 15:09:02,買進->賣出,小型期05,1,"20,020","20,000",42,40,"-1,082"
2025/04/28 9:48:11,買進->賣出,小型期05,1,"20,050","20,034",42,40,-882
2025/04/28 9:45:32,買進->賣出,小型期05,1,"20,040","20,035",42,40,-332
2025/04/28 9:35:25,買進->賣出,小型期05,1,"20,020","20,000",42,40,"-1,082"
2025/04/28 9:31:01,買進->賣出,小型期05,1,"20,010","20,000",42,40,-582
2025/04/28 9:30:01,賣出->買進,小型期05,1,"19,990","20,014",42,40,"-1,282"
2025/04/28 9:22:32,賣出->買進,小型期05,1,"19,990","20,005",42,40,-832
2025/04/28 9:20:18,買進->賣出,小型期05,1,"20,010","19,988",42,40,"-1,182"
2025/04/28 9:13:34,賣出->買進,小型期05,1,"20,000","20,010",42,40,-582
2025/04/28 9:11:56,賣出->買進,小型期05,1,"20,000","20,010",42,40,-582
2025/04/25 19:00:57,賣出->買進,微型台指期05,1,"19,800","19,805",28,8,-86
2025/04/25 18:37:03,買進->賣出,小型期05,1,"19,510","19,793",42,40,"14,068"
2025/04/24 10:45:53,買進->賣出,小型期05,1,"19,200","19,498",42,38,"14,820"
2025/04/23 8:52:09,買進->賣出,小型期05,1,"19,203","19,180",42,38,"-1,230"
2025/04/23 1:11:03,買進->賣出,小型期05,1,"19,105","19,084",42,38,"-1,130"
2025/04/22 23:25:41,買進->賣出,小型期05,1,"18,994","19,031",42,38,"1,770"
2025/04/22 22:48:36,買進->賣出,小型期05,1,"19,000","18,996",42,38,-280
2025/04/22 22:42:13,買進->賣出,小型期05,1,"19,000","18,990",42,38,-580
2025/04/22 22:27:32,買進->賣出,小型期05,1,"18,994","18,980",42,38,-780
2025/04/22 22:15:15,買進->賣出,小型期05,1,"18,989","18,988",42,38,-130
2025/04/22 23:59:28,賣出->買進,小型期05,1,"19,026","19,045",42,38,"-1,030"
2025/04/22 23:39:02,賣出->買進,小型期05,1,"19,025","19,035",42,38,-580
2025/04/22 23:35:10,賣出->買進,小型期05,1,"19,025","19,042",42,38,-930
2025/04/22 22:58:00,賣出->買進,小型期05,1,"18,996","18,994",42,38,20
2025/04/22 22:46:56,賣出->買進,小型期05,1,"18,990","19,000",42,38,-580
2025/04/22 22:40:06,賣出->買進,小型期05,1,"18,980","19,000",42,38,"-1,080"
2025/04/22 22:21:47,賣出->買進,小型期05,1,"18,990","18,994",42,38,-280
2025/04/22 22:06:31,賣出->買進,小型期05,1,"18,965","18,988",42,38,"-1,230"
2025/04/22 21:59:08,賣出->買進,小型期05,1,"18,960","18,971",42,38,-630
2025/04/22 21:44:00,賣出->買進,小型期05,1,"19,010","18,950",42,38,"2,920"
2025/04/22 9:51:30,賣出->買進,小型期05,1,"19,010","19,032",42,38,"-1,180"
2025/04/22 9:49:07,賣出->買進,小型期05,1,"19,010","19,030",42,38,"-1,080"
2025/04/22 9:45:35,賣出->買進,小型期05,1,"19,000","19,020",42,38,"-1,080"
2025/04/22 9:27:33,賣出->買進,小型期05,1,"18,993","19,015",42,38,"-1,180"
2025/04/22 9:17:21,賣出->買進,小型期05,1,"18,935","18,950",42,38,-830
2025/04/22 9:13:18,賣出->買進,小型期05,1,"18,930","18,951",42,38,"-1,130"
2025/04/22 9:06:05,賣出->買進,小型期05,1,"18,888","18,900",42,38,-680
2025/04/22 9:02:34,賣出->買進,小型期05,1,"18,870","18,893",42,38,"-1,230"
2025/04/18 9:47:30,買進->賣出,小型期05,1,"19,350","19,351",42,38,-30
2025/04/18 9:02:12,買進->賣出,小型期05,1,"19,380","19,360",42,38,"-1,080"
2025/04/18 9:00:01,買進->賣出,小型期05,1,"19,370","19,360",42,38,-580
2025/04/18 8:55:48,買進->賣出,小型期05,1,"19,375","19,360",42,38,-830
2025/04/18 8:49:07,買進->賣出,小型期05,1,"19,375","19,355",42,38,"-1,080"
2025/04/18 9:16:26,賣出->買進,小型期05,1,"19,340","19,351",42,38,-630
2025/04/18 9:09:08,賣出->買進,小型期05,1,"19,340","19,350",42,38,-580
2025/04/02 15:55:52,賣出->買進,小型期04,1,"21,300","21,312",42,42,-684
2025/04/02 10:02:55,買進->賣出,小型期04,1,"21,311","21,286",42,42,"-1,334"
2025/04/02 9:41:03,買進->賣出,小型期04,1,"21,309","21,286",42,42,"-1,234"
2025/04/02 9:30:35,買進->賣出,小型期04,1,"21,286","21,275",42,42,-634
2025/04/02 9:28:50,買進->賣出,小型期04,1,"21,288","21,275",42,42,-734
2025/04/02 9:27:08,買進->賣出,小型期04,1,"21,299","21,285",42,42,-784
2025/04/02 9:24:30,買進->賣出,小型期04,1,"21,295","21,290",42,42,-334
2025/04/02 12:47:40,賣出->買進,小型期04,1,"21,250","21,251",42,42,-134
2025/04/02 12:15:16,賣出->買進,小型期04,1,"21,263","21,273",42,42,-584
2025/04/02 11:59:14,賣出->買進,小型期04,1,"21,250","21,270",42,42,"-1,084"
2025/04/02 11:50:41,賣出->買進,小型期04,1,"21,240","21,259",42,42,"-1,034"
2025/04/02 11:08:28,賣出->買進,小型期04,1,"21,265","21,276",42,42,-634
2025/04/02 11:04:32,賣出->買進,小型期04,1,"21,250","21,280",42,42,"-1,584"
2025/04/02 10:58:24,賣出->買進,小型期04,1,"21,260","21,269",42,42,-534
2025/04/02 10:52:37,賣出->買進,小型期04,1,"21,271","21,281",42,42,-584
2025/04/02 10:46:31,賣出->買進,小型期04,1,"21,270","21,280",42,42,-584
2025/04/02 10:02:55,買進->賣出,小型期04,1,"21,311","21,286",42,42,"-1,334"
2025/04/02 9:41:03,買進->賣出,小型期04,1,"21,309","21,286",42,42,"-1,234"
2025/04/02 9:30:35,買進->賣出,小型期04,1,"21,286","21,275",42,42,-634
2025/04/02 9:28:50,買進->賣出,小型期04,1,"21,288","21,275",42,42,-734
2025/04/02 9:27:08,買進->賣出,小型期04,1,"21,299","21,285",42,42,-784
2025/04/02 9:24:30,買進->賣出,小型期04,1,"21,295","21,290",42,42,-334
2025/04/02 10:26:42,賣出->買進,小型期04,1,"21,282","21,281",42,42,-34
2025/04/02 9:41:50,賣出->買進,小型期04,1,"21,291","21,301",42,42,-584
2025/04/02 9:31:00,賣出->買進,小型期04,1,"21,280","21,293",42,42,-734
2025/04/02 9:17:49,賣出->買進,小型期04,1,"21,310","21,307",42,42,66
2025/04/02 8:52:05,賣出->買進,小型期04,1,"21,320","21,328",42,42,-484
2025/04/02 8:51:06,賣出->買進,小型期04,1,"21,310","21,325",42,42,-834
2025/04/02 0:49:25,賣出->買進,小型期04,1,"21,290","21,310",42,42,"-1,084"
2025/04/02 0:17:21,賣出->買進,小型期04,1,"21,340","21,360",42,42,"-1,084"
2025/04/02 0:01:52,賣出->買進,小型期04,1,"21,340","21,350",42,42,-584
2025/04/01 23:44:16,賣出->買進,小型期04,1,"21,320","21,330",42,42,-584
2025/04/01 22:59:11,賣出->買進,小型期04,1,"21,230","21,240",42,42,-584
2025/04/01 22:47:24,賣出->買進,小型期04,1,"21,205","21,200",42,42,166
2025/04/01 16:19:00,賣出->買進,小型期04,1,"21,200","21,221",42,42,"-1,134"
2025/04/01 15:00:24,賣出->買進,小型期04,1,"21,220","21,226",42,42,-384
2025/04/01 13:29:58,賣出->買進,小型期04,1,"21,215","21,230",42,42,-834
2025/04/01 13:03:48,賣出->買進,小型期04,1,"21,205","21,220",42,42,-834
2025/04/01 12:52:53,賣出->買進,小型期04,1,"21,190","21,210",42,42,"-1,084"
2025/04/01 12:13:55,賣出->買進,小型期04,1,"21,190","21,210",42,42,"-1,084"
2025/04/01 11:50:15,賣出->買進,小型期04,1,"21,180","21,202",42,42,"-1,184"
2025/04/01 11:19:01,賣出->買進,小型期04,1,"21,600","21,199",42,43,"19,965"
2025/03/28 21:47:22,賣出->買進,小型期04,1,"21,585","21,589",42,44,-286
2025/03/28 21:43:13,賣出->買進,小型期04,1,"21,625","21,623",42,44,14
2025/03/28 15:10:02,賣出->買進,小型期04,1,"21,740","21,642",42,44,"4,814"
2025/03/26 9:47:41,買進->賣出,小型期04,1,"22,360","22,340",42,44,"-1,086"
2025/03/26 9:25:58,買進->賣出,小型期04,1,"22,265","22,350",42,44,"4,164"
2025/03/25 12:12:52,買進->賣出,小型期04,1,"22,266","22,252",42,44,-786
2025/03/25 12:06:20,買進->賣出,小型期04,1,"22,260","22,252",42,44,-486
2025/03/25 11:17:30,買進->賣出,小型期04,1,"22,280","22,255",42,44,"-1,336"
2025/03/25 11:03:47,買進->賣出,小型期04,1,"22,268","22,255",42,44,-736
2025/03/25 9:56:06,買進->賣出,小型期04,1,"22,354","22,352",42,44,-186
2025/03/25 9:17:06,買進->賣出,小型期04,1,"22,365","22,345",42,44,"-1,086"
2025/03/25 9:10:45,買進->賣出,小型期04,1,"22,350","22,328",42,44,"-1,186"
2025/03/25 9:01:39,買進->賣出,小型期04,1,"22,380","22,360",42,44,"-1,086"
2025/03/25 11:31:25,賣出->買進,小型期04,1,"22,250","22,263",42,44,-736
2025/03/25 11:08:25,賣出->買進,小型期04,1,"22,255","22,275",42,44,"-1,086"
2025/03/25 11:00:21,賣出->買進,小型期04,1,"22,328","22,269",42,44,"2,864"
2025/03/25 9:19:09,賣出->買進,小型期04,1,"22,345","22,355",42,44,-586
2025/03/24 11:20:08,買進->賣出,小型期04,1,"22,210","22,190",42,44,"-1,086"
2025/03/24 10:56:38,買進->賣出,小型期04,1,"22,230","22,210",42,44,"-1,086"
2025/03/24 10:43:23,買進->賣出,小型期04,1,"22,230","22,210",42,44,"-1,086"
2025/03/24 9:41:42,買進->賣出,小型期04,1,"22,275","22,260",42,44,-836
2025/03/21 9:00:03,買進->賣出,小型期04,1,"22,370","22,350",42,44,"-1,086"
2025/03/20 16:48:10,買進->賣出,小型期04,1,"22,209","22,331",42,44,"6,014"
2025/03/19 9:12:35,買進->賣出,小型期03,1,"22,230","22,200",42,44,"-1,586"
2025/03/19 11:04:19,賣出->買進,小型期03,1,"22,157","22,102",42,44,"2,664"
2025/03/17 9:41:10,賣出->買進,小型期03,1,"22,180","22,200",42,44,"-1,086"
2025/03/17 9:18:03,賣出->買進,小型期03,1,"22,170","22,187",42,44,-936
2025/03/17 9:07:14,賣出->買進,小型期03,1,"22,180","22,180",42,44,-86
2025/03/14 15:26:06,賣出->買進,小型期03,1,"21,961","21,975",42,44,-786
2025/03/14 15:14:06,賣出->買進,小型期03,1,"21,950","21,969",42,44,"-1,036"
2025/03/14 11:18:04,賣出->買進,小型期03,1,"21,965","21,975",42,44,-586
2025/03/14 11:02:40,賣出->買進,小型期03,1,"21,970","21,980",42,44,-586
2025/03/14 10:48:10,賣出->買進,小型期03,1,"21,920","21,940",42,44,"-1,086"
2025/03/14 10:39:16,賣出->買進,小型期03,1,"21,934","21,944",42,44,-586
2025/03/14 10:27:15,賣出->買進,小型期03,1,"21,901","21,922",42,44,"-1,136"
2025/03/14 10:15:25,賣出->買進,小型期03,1,"21,900","21,920",42,44,"-1,086"
2025/03/12 16:37:52,賣出->買進,小型期03,1,"22,215","22,237",42,44,"-1,186"
2025/03/12 15:51:56,賣出->買進,小型期03,1,"22,210","22,220",42,44,-586
2025/03/12 15:27:22,賣出->買進,小型期03,1,"22,190","22,213",42,44,"-1,236"
2025/03/10 9:31:59,賣出->買進,小型期03,1,"22,380","22,400",42,44,"-1,086"
2025/03/10 9:25:15,賣出->買進,小型期03,1,"22,420","22,420",42,44,-86
2025/03/10 9:20:00,賣出->買進,小型期03,1,"22,400","22,419",42,44,"-1,036"
2025/03/10 9:18:01,賣出->買進,小型期03,1,"22,410","22,430",42,44,"-1,086"
2025/03/10 9:15:05,賣出->買進,小型期03,1,"22,500","22,400",42,45,"4,913"
2025/03/10 8:59:58,賣出->買進,小型期03,1,"22,505","22,520",42,46,-838
2025/03/10 8:53:57,賣出->買進,小型期03,1,"22,486","22,496",42,44,-586
2025/03/07 9:30:06,買進->賣出,小型期03,1,"22,600","22,650",42,46,"2,412"
2025/03/07 9:05:00,買進->賣出,小型期03,1,"22,560","22,566",42,46,212
2024/10/30 10:08:07,買進->賣出,小型期11,1,"23,127","23,090",42,46,"-1,938"
2024/10/28 9:59:19,買進->賣出,小型期11,1,"23,450","23,396",42,46,"-2,788"
2024/10/28 9:52:43,買進->賣出,小型期11,1,"23,446","23,407",42,46,"-2,038"
2024/10/28 9:42:11,買進->賣出,小型期11,1,"23,490","23,460",42,46,"-1,588"
2024/10/28 9:35:46,買進->賣出,小型期11,1,"23,526","23,490",42,47,"-1,889"
2024/10/28 9:15:42,買進->賣出,小型期11,1,"23,580","23,541",42,48,"-2,040"
2024/10/28 9:05:13,買進->賣出,小型期11,1,"23,614","23,571",42,48,"-2,240"
2024/10/28 9:00:01,買進->賣出,小型期11,1,"23,630","23,599",42,48,"-1,640"
2024/10/23 10:29:16,買進->賣出,小型期11,1,"23,448","23,428",42,46,"-1,088"
2024/10/23 10:18:51,買進->賣出,小型期11,1,"23,450","23,426",42,46,"-1,288"
2024/10/23 9:54:21,買進->賣出,小型期11,1,"23,480","23,459",42,46,"-1,138"
2024/10/21 11:56:57,買進->賣出,小型期11,1,"23,715","23,684",42,48,"-1,640"
2024/10/21 11:18:25,買進->賣出,小型期11,1,"23,720","23,691",42,48,"-1,540"
2024/08/14 11:57:26,買進->賣出,小型期08,1,"22,010","21,989",42,44,"-1,136"
2024/08/14 11:04:02,買進->賣出,小型期08,1,"21,960","21,960",42,44,-86
2024/08/14 10:33:19,買進->賣出,小型期08,1,"21,960","21,939",42,44,"-1,136"
2024/08/14 10:04:19,買進->賣出,小型期08,1,"22,056","22,027",42,44,"-1,536"
2024/08/08 0:43:04,買進->賣出,小型期08,1,"21,155","21,138",42,42,-934
2024/08/08 0:10:15,買進->賣出,小型期08,1,"21,150","21,130",42,42,"-1,084"
2024/08/08 0:03:20,買進->賣出,小型期08,1,"21,166","21,158",42,42,-484
2024/08/07 23:45:03,買進->賣出,小型期08,1,"21,170","21,170",42,42,-84
2024/08/07 22:38:38,買進->賣出,小型期08,1,"21,213","21,193",42,42,"-1,084"
2024/08/07 22:34:43,買進->賣出,小型期08,1,"21,220","21,196",42,42,"-1,284"
2024/08/07 22:24:52,買進->賣出,小型期08,1,"21,260","21,240",42,42,"-1,084"
2024/08/07 22:18:25,買進->賣出,小型期08,1,"21,190","21,251",42,42,"2,966"
2024/08/07 16:34:25,買進->賣出,小型期08,1,"21,120","21,096",42,42,"-1,284"
2024/08/01 22:01:18,買進->賣出,小型期08,1,"22,520","22,509",42,46,-638
2024/08/01 21:39:09,買進->賣出,小型期08,1,"22,530","22,510",42,46,"-1,088"
2024/08/01 21:07:13,買進->賣出,小型期08,1,"22,560","22,538",42,46,"-1,188"
2024/08/01 20:42:46,買進->賣出,小型期08,1,"22,555","22,545",42,46,-588
2024/08/01 20:00:46,買進->賣出,小型期08,1,"22,550","22,530",42,46,"-1,088"
2024/08/01 16:12:01,買進->賣出,小型期08,1,"22,490","22,500",42,45,413
2024/08/01 10:17:16,買進->賣出,小型期08,1,"22,490","22,470",42,44,"-1,086"
2024/08/01 10:12:15,買進->賣出,小型期08,1,"22,509","22,490",42,45,"-1,037"
2024/08/01 10:03:02,買進->賣出,小型期08,1,"22,540","22,507",42,46,"-1,738"
2024/08/01 10:01:11,買進->賣出,小型期08,1,"22,549","22,528",42,46,"-1,138"
2024/08/01 9:41:41,買進->賣出,小型期08,1,"22,630","22,610",42,46,"-1,088"
2024/08/01 9:38:36,買進->賣出,小型期08,1,"22,630","22,608",42,46,"-1,188"
2024/08/01 9:27:29,買進->賣出,小型期08,1,"22,620","22,601",42,46,"-1,038"
2024/08/01 9:22:42,買進->賣出,小型期08,1,"22,640","22,621",42,46,"-1,038"
2024/07/30 21:46:01,買進->賣出,小型期08,1,"22,060","22,159",42,44,"4,864"
2024/06/25 1:06:02,買進->賣出,小型期07,1,"22,840","22,691",42,46,"-7,538"
2024/06/11 23:44:02,買進->賣出,小型期06,1,"21,675","21,670",42,44,-336
2024/06/11 21:54:09,買進->賣出,小型期06,1,"21,670","21,648",42,44,"-1,186"
2024/06/11 21:47:04,買進->賣出,小型期06,1,"21,689","21,660",42,44,"-1,536"
2024/06/11 21:37:21,買進->賣出,小型期06,1,"21,709","21,688",42,44,"-1,136"
2024/06/11 19:05:17,買進->賣出,小型期06,1,"21,715","21,695",42,44,"-1,086"
2024/06/11 13:34:11,買進->賣出,小型期06,1,"21,819","21,787",42,44,"-1,686"
2024/06/11 10:26:12,買進->賣出,小型期06,1,"21,920","21,890",42,44,"-1,586"
2024/06/11 10:21:00,買進->賣出,小型期06,1,"21,930","21,887",42,44,"-2,236"
2024/06/04 12:47:16,買進->賣出,小型期06,1,"21,385","21,365",42,42,"-1,084"
2024/06/04 10:25:51,買進->賣出,小型期06,1,"21,428","21,420",42,42,-484
2024/06/04 9:31:07,買進->賣出,小型期06,1,"21,470","21,450",42,42,"-1,084"
2024/06/04 9:28:26,買進->賣出,小型期06,1,"21,440","21,452",42,42,516
2024/06/04 1:11:29,買進->賣出,小型期06,1,"21,446","21,417",42,42,"-1,534"
2024/06/04 0:52:16,買進->賣出,小型期06,1,"21,444","21,425",42,42,"-1,034"
2024/06/04 0:12:36,買進->賣出,小型期06,1,"21,450","21,452",42,42,16
2024/06/03 9:25:52,買進->賣出,小型期06,1,"21,445","21,425",42,42,"-1,084"
2024/06/03 9:18:48,買進->賣出,小型期06,1,"21,475","21,455",42,42,"-1,084"
2024/06/03 9:02:44,買進->賣出,小型期06,1,"21,570","21,550",42,44,"-1,086"
2024/05/31 8:47:43,買進->賣出,小型期06,1,"21,450","21,501",42,43,"2,465"
2024/05/30 12:09:03,買進->賣出,小型期06,1,"21,475","21,455",42,42,"-1,084"
2024/05/30 11:23:26,買進->賣出,小型期06,1,"21,487","21,467",42,42,"-1,084"
2024/05/30 11:04:48,買進->賣出,小型期06,1,"21,499","21,480",42,42,"-1,034"
2024/05/29 9:00:30,賣出->買進,小型期06,1,"21,870","21,890",42,44,"-1,086"
2024/05/24 1:37:38,買進->賣出,小型期06,1,"21,505","21,504",42,44,-136
2024/05/23 22:47:15,買進->賣出,小型期06,1,"21,540","21,537",42,44,-236
2024/05/24 10:23:59,賣出->買進,小型期06,1,"21,542","21,542",42,44,-86
2024/05/24 9:53:03,賣出->買進,小型期06,1,"21,530","21,549",42,44,"-1,036"
2024/05/24 9:18:40,賣出->買進,小型期06,1,"21,490","21,519",42,43,"-1,535"
2024/05/24 9:04:45,賣出->買進,小型期06,1,"21,462","21,480",42,42,-984
2024/05/23 9:18:57,買進->賣出,小型期06,1,"21,590","21,545",42,44,"-2,336"
2024/05/23 8:51:39,買進->賣出,小型期06,1,"21,620","21,560",42,44,"-3,086"
2024/05/23 2:26:49,買進->賣出,小型期06,1,"21,205","21,458",42,42,"12,566"
2024/05/21 10:05:09,買進->賣出,小型期06,1,"21,198","21,180",42,42,-984
2024/05/21 10:01:00,買進->賣出,小型期06,1,"21,201","21,180",42,42,"-1,134"
2024/05/21 9:50:39,買進->賣出,小型期06,1,"21,270","21,252",42,42,-984
2024/05/21 9:29:49,買進->賣出,小型期06,1,"21,300","21,270",42,42,"-1,584"
2024/05/21 9:21:10,買進->賣出,小型期06,1,"21,280","21,278",42,42,-184
2024/05/21 9:02:32,買進->賣出,小型期06,1,"21,265","21,262",42,42,-234
2024/05/20 20:43:19,買進->賣出,小型期06,1,"21,260","21,242",42,42,-984
2024/05/20 12:40:15,買進->賣出,小型期06,1,"21,259","21,230",42,42,"-1,534"
2024/05/20 11:36:01,買進->賣出,小型期06,1,"21,355","21,310",42,42,"-2,334"
2024/05/20 9:29:40,買進->賣出,小型期06,1,"21,382","21,350",42,42,"-1,684"
2024/05/02 15:36:26,賣出->買進,小型期05,1,"20,310","20,310",42,40,-82
2024/05/02 13:24:03,賣出->買進,小型期05,1,"20,315","20,325",42,40,-582
2024/05/02 12:10:08,賣出->買進,小型期05,1,"20,315","20,330",42,40,-832
2024/05/02 11:17:40,賣出->買進,小型期05,1,"20,305","20,315",42,40,-582
2024/05/02 10:43:56,賣出->買進,小型期05,1,"20,360","20,322",42,40,"1,818"
2024/05/02 9:24:04,賣出->買進,小型期05,1,"20,365","20,375",42,40,-582
2024/05/02 9:16:41,賣出->買進,小型期05,1,"20,340","20,360",42,40,"-1,082"
2024/04/26 16:27:55,買進->賣出,小型期05,1,"20,150","20,150",42,40,-82
2024/04/26 15:32:51,買進->賣出,小型期05,1,"20,160","20,145",42,40,-832
2024/04/26 15:21:55,買進->賣出,小型期05,1,"20,128","20,130",42,40,18
2024/04/26 10:47:39,賣出->買進,小型期05,1,"20,096","20,101",42,40,-332
2024/04/26 10:44:14,買進->賣出,小型期05,1,"20,100","20,150",42,40,"2,418"
2024/04/23 10:49:33,賣出->買進,小型期05,1,"19,630","19,630",42,40,-82
2024/04/23 1:03:00,賣出->買進,小型期05,1,"19,615","19,642",42,40,"-1,432"
